station_id;available_bikes;available_ebikes;free_stands;status;updated
16101;0;0;31;Close;2020-03-09 00:00:12
16107;0;7;28;Operative;2020-03-09 00:00:12
16105;1;1;28;Operative;2020-03-09 00:00:12
16104;0;0;35;Operative;2020-03-09 00:00:12
19029;5;3;11;Operative;2020-03-09 00:00:12
16039;16;4;28;Operative;2020-03-09 00:00:12
16038;9;6;19;Operative;2020-03-09 00:00:12
19025;0;0;21;Operative;2020-03-09 00:00:12
19024;0;0;20;Operative;2020-03-09 00:00:12
19027;1;4;13;Operative;2020-03-09 00:00:12
19026;0;1;16;Operative;2020-03-09 00:00:12
19021;2;10;15;Operative;2020-03-09 00:00:12
16032;0;2;19;Operative;2020-03-09 00:00:12
16031;2;4;15;Operative;2020-03-09 00:00:12
16030;38;10;7;Operative;2020-03-09 00:00:12
42018;3;3;25;Operative;2020-03-09 00:00:12
42019;17;12;14;Operative;2020-03-09 00:00:12
43010;6;9;10;Operative;2020-03-09 00:00:12
42010;12;2;39;Operative;2020-03-09 00:00:12
42011;24;5;0;Operative;2020-03-09 00:00:12
42014;20;5;7;Operative;2020-03-09 00:00:12
42015;2;6;17;Operative;2020-03-09 00:00:12
42016;2;13;12;Operative;2020-03-09 00:00:12
42304;17;3;4;Operative;2020-03-09 00:00:12
42305;2;18;0;Operative;2020-03-09 00:00:12
42301;4;8;14;Operative;2020-03-09 00:00:12
42302;3;1;18;Operative;2020-03-09 00:00:12
42303;9;9;2;Operative;2020-03-09 00:00:12
41301;22;14;14;Operative;2020-03-09 00:00:12
41303;20;9;3;Operative;2020-03-09 00:00:12
41302;4;10;35;Operative;2020-03-09 00:00:12
9014;24;2;9;Operative;2020-03-09 00:00:12
9015;16;1;15;Operative;2020-03-09 00:00:12
9016;8;5;4;Operative;2020-03-09 00:00:12
9017;0;4;25;Operative;2020-03-09 00:00:12
9010;18;2;4;Operative;2020-03-09 00:00:12
9011;8;7;5;Operative;2020-03-09 00:00:12
9012;16;6;8;Operative;2020-03-09 00:00:12
9013;8;0;16;Operative;2020-03-09 00:00:12
9019;3;2;13;Operative;2020-03-09 00:00:12
21505;1;8;15;Operative;2020-03-09 00:00:12
21507;1;0;19;Operative;2020-03-09 00:00:12
21506;1;3;18;Operative;2020-03-09 00:00:12
21501;14;3;35;Operative;2020-03-09 00:00:12
21502;6;9;11;Operative;2020-03-09 00:00:12
15133;0;0;0;Work in progress;2020-03-09 00:00:12
15132;4;5;12;Operative;2020-03-09 00:00:12
15131;11;3;16;Operative;2020-03-09 00:00:12
18026;2;7;26;Operative;2020-03-09 00:00:12
11046;4;1;13;Operative;2020-03-09 00:00:12
3012;8;3;14;Operative;2020-03-09 00:00:12
3010;3;5;13;Operative;2020-03-09 00:00:12
3011;18;7;6;Operative;2020-03-09 00:00:12
11044;8;4;8;Operative;2020-03-09 00:00:12
1008;17;4;11;Operative;2020-03-09 00:00:12
1007;3;0;13;Operative;2020-03-09 00:00:12
1006;7;12;14;Operative;2020-03-09 00:00:12
1003;18;14;11;Operative;2020-03-09 00:00:12
1002;1;0;21;Operative;2020-03-09 00:00:12
1001;0;1;16;Operative;2020-03-09 00:00:12
18023;15;9;11;Operative;2020-03-09 00:00:12
8053;3;1;24;Operative;2020-03-09 00:00:12
8052;2;4;23;Operative;2020-03-09 00:00:12
8051;3;1;11;Operative;2020-03-09 00:00:12
8050;5;3;25;Operative;2020-03-09 00:00:12
8057;1;0;32;Operative;2020-03-09 00:00:12
11041;27;4;12;Operative;2020-03-09 00:00:12
31018;11;7;15;Operative;2020-03-09 00:00:12
31019;8;4;26;Operative;2020-03-09 00:00:12
31016;1;2;31;Operative;2020-03-09 00:00:12
31017;0;1;19;Operative;2020-03-09 00:00:12
18021;1;5;15;Operative;2020-03-09 00:00:12
31012;9;9;7;Operative;2020-03-09 00:00:12
31013;0;5;40;Operative;2020-03-09 00:00:12
31010;5;3;34;Operative;2020-03-09 00:00:12
15006;2;3;33;Operative;2020-03-09 00:00:12
15005;1;1;41;Operative;2020-03-09 00:00:12
15004;1;0;20;Operative;2020-03-09 00:00:12
15003;0;0;66;Close;2020-03-09 00:00:12
15002;0;0;17;Operative;2020-03-09 00:00:12
15001;0;1;42;Operative;2020-03-09 00:00:12
15009;15;4;27;Operative;2020-03-09 00:00:12
15008;11;2;49;Operative;2020-03-09 00:00:12
11018;3;7;28;Operative;2020-03-09 00:00:12
11019;8;9;14;Operative;2020-03-09 00:00:12
11014;5;2;40;Operative;2020-03-09 00:00:12
11016;2;9;37;Operative;2020-03-09 00:00:12
11017;1;2;44;Operative;2020-03-09 00:00:12
11010;12;6;25;Operative;2020-03-09 00:00:12
11011;15;7;3;Operative;2020-03-09 00:00:12
11012;6;5;23;Operative;2020-03-09 00:00:12
23011;5;0;20;Operative;2020-03-09 00:00:12
23010;2;2;23;Operative;2020-03-09 00:00:12
11048;20;4;19;Operative;2020-03-09 00:00:12
19102;2;2;13;Operative;2020-03-09 00:00:12
19103;3;3;13;Operative;2020-03-09 00:00:12
15311;1;1;28;Operative;2020-03-09 00:00:12
19101;0;1;23;Operative;2020-03-09 00:00:12
19105;7;5;5;Operative;2020-03-09 00:00:12
19108;3;5;29;Operative;2020-03-09 00:00:12
19109;4;3;12;Operative;2020-03-09 00:00:12
32602;0;5;41;Operative;2020-03-09 00:00:12
32603;1;2;28;Operative;2020-03-09 00:00:12
32601;1;5;33;Operative;2020-03-09 00:00:12
32604;0;3;47;Operative;2020-03-09 00:00:12
16029;39;2;6;Operative;2020-03-09 00:00:12
19038;0;1;19;Operative;2020-03-09 00:00:12
19039;0;2;22;Operative;2020-03-09 00:00:12
16020;1;3;32;Operative;2020-03-09 00:00:12
19037;2;2;28;Operative;2020-03-09 00:00:12
19034;0;0;48;Work in progress;2020-03-09 00:00:12
16023;2;2;29;Operative;2020-03-09 00:00:12
19032;3;9;36;Operative;2020-03-09 00:00:12
19033;10;5;28;Operative;2020-03-09 00:00:12
19030;6;15;7;Operative;2020-03-09 00:00:12
16027;2;4;56;Operative;2020-03-09 00:00:12
12043;20;7;13;Operative;2020-03-09 00:00:12
12040;11;9;47;Operative;2020-03-09 00:00:12
12041;34;13;13;Operative;2020-03-09 00:00:12
43001;6;7;9;Operative;2020-03-09 00:00:12
43002;8;5;12;Operative;2020-03-09 00:00:12
43003;14;8;4;Operative;2020-03-09 00:00:12
43004;8;7;10;Operative;2020-03-09 00:00:12
43005;9;11;31;Operative;2020-03-09 00:00:12
43006;4;12;13;Operative;2020-03-09 00:00:12
43007;9;2;16;Operative;2020-03-09 00:00:12
43008;9;4;12;Operative;2020-03-09 00:00:12
43009;24;7;19;Operative;2020-03-09 00:00:12
16115;0;2;40;Operative;2020-03-09 00:00:12
16116;10;2;18;Operative;2020-03-09 00:00:12
16110;2;5;14;Operative;2020-03-09 00:00:12
16111;0;2;31;Operative;2020-03-09 00:00:12
16112;0;5;31;Operative;2020-03-09 00:00:12
16118;5;5;16;Operative;2020-03-09 00:00:12
42209;11;4;2;Operative;2020-03-09 00:00:12
42205;13;14;8;Operative;2020-03-09 00:00:12
42207;7;5;25;Operative;2020-03-09 00:00:12
41404;11;4;11;Operative;2020-03-09 00:00:12
41405;5;6;13;Operative;2020-03-09 00:00:12
